reference_id	ref_gene_id	ref_gene_name	SRR2753092	SRR2753098	SRR2753106	SRR2753116
]633;E;for gtf in SRR2753092.sorted.stringtie.gtf SRR2753098.sorted.stringtie.gtf SRR2753106.sorted.stringtie.gtf SRR2753116.sorted.stringtie.gtf;a4d99752-1e2f-4862-a129-1e82d6f2dfe3]633;CENST00000379198.5	ENSG00000176022.7	B3GALT6	1.522072	0	0	0
ENST00000467339.1	ENSG00000160087.21	UBE2J2	0.083799	0.043098	0	0
ENST00000531020.1	ENSG00000127054.21	INTS11	0.261083	0.059913	0	0
ENST00000533916.5	ENSG00000127054.21	INTS11	3.634066	0.849804	0	0
ENST00000463260.5	ENSG00000221978.12	CCNL2	0.5481	0.387686	0.561968	0
ENST00000463895.1	ENSG00000221978.12	CCNL2	1.29233	1.256579	0.717018	0.555749
ENST00000607307.1	ENSG00000272455.1	MRPL20-DT	0.005193	0	0.432426	0.279982
ENST00000572242.1	ENSG00000224870.7	MRPL20-AS1	0.697602	1.932973	0.736401	1.902846
ENST00000344843.12	ENSG00000242485.6	MRPL20	10.284503	9.380238	19.627808	16.836343
ENST00000493287.5	ENSG00000242485.6	MRPL20	0.357274	0	0	0
ENST00000482352.1	ENSG00000242485.6	MRPL20	0.006605	0.236826	0.262733	0.132918
ENST00000477686.1	ENSG00000242485.6	MRPL20	0.072067	0	0	0
ENST00000602865.1	ENSG00000269896.2	RP4-740C4.5	0.061833	0.23673	0.257598	0.069295
ENST00000607031.1	ENSG00000116151.14	MORN1	1.029108	0.287079	0.279634	0.989878
ENST00000475812.1	ENSG00000116151.14	MORN1	0.292496	0	0	0
ENST00000605895.6	ENSG00000157916.20	RER1	6.015504	11.248644	0	0
ENST00000493207.1	ENSG00000157916.20	RER1	0.189271	0.46895	0	0
ENST00000488353.2	ENSG00000157916.20	RER1	0.683745	2.106889	1.879923	7.543044
ENST00000462129.1	ENSG00000157916.20	RER1	0.227007	0.339065	0.277431	4.147244
ENST00000487804.1	ENSG00000157881.16	PANK4	0.227316	0	0	0
ENST00000515423.1	ENSG00000157881.16	PANK4	0.471529	0	0	0
ENST00000442392.6	ENSG00000157873.18	TNFRSF14	1.455396	0	0	0
ENST00000482074.6	ENSG00000157873.18	TNFRSF14	0.355873	0.044813	0	0.772932
ENST00000606861.1	ENSG00000177133.12	PRDM16-DT	0.035494	0.542602	0.294726	0.446668
ENST00000606170.1	ENSG00000142611.17	PRDM16	0.092941	0.003051	0	0.837595
ENST00000291386.4	ENSG00000160075.12	SSU72	20.389322	16.982393	13.004019	13.195866
ENST00000378726.1	ENSG00000160075.12	SSU72	0.122399	0.890977	0.332739	1.306045
ENST00000378725.3	ENSG00000160075.12	SSU72	0.000474	0.024693	0.036971	0.010012
ENST00000359060.5	ENSG00000160075.12	SSU72	2.959154	4.45741	1.905237	4.102956
ENST00000366221.3	ENSG00000215014.5	RP5-832C2.5	0.922446	0.959068	0.716422	0.16568
ENST00000422725.4	ENSG00000228594.4	FNDC10	1.039908	2.209493	0.199959	4.361168
ENST00000607222.1	ENSG00000272106.1	RP11-345P4.9	5.865117	3.877044	2.063768	3.01511
ENST00000480991.1	ENSG00000189339.12	SLC35E2B	0.887926	0	0	0
ENST00000596308.1	ENSG00000269737.2	RP11-345P4.6	0.41731	0.830312	0.489455	0.555879
ENST00000478901.1	ENSG00000008128.23	CDK11A	0.068003	0	0	0.35182
ENST00000498810.1	ENSG00000008128.23	CDK11A	1.95552	0.474781	3.428449	0
ENST00000475229.2	ENSG00000215790.8	SLC35E2A	3.330241	2.202099	0	0
ENST00000497615.1	ENSG00000008130.15	NADK	0.292177	0.00536	0	0.116625
